file,z1,l_hp,l_cost,n_measured,n_bailed
2024-06-10_2p_mini_edited_Turn_5_(43821).json.gz,-1.0,-17.405500000000004,-13.540000000000003,11,0
2025-06-12_2p_-_Micro_Isar_Turn_6_(126022).json.gz,-1.0,-35.03919999999998,-34.340799999999994,18,0
2024-05-12_2p_mini_edited_Turn_15_(25244).json.gz,-1.0,10.805200000000005,41.20288000000001,38,13
2024-10-08_2p__Sablestone_Delta_Turn_11_(46400).json.gz,1.0,-67.20374912,-40.61974527999999,43,5
2025-12-18_2p__Caves_of_the_Basilisk_Turn_8_(33043).json.gz,-1.0,-18.9069456,-18.611007200000007,21,1
2024-08-01_2p__Sablestone_Delta_Turn_11_(366).json.gz,1.0,-26.5650416,26.04207680000001,53,1
2025-01-13_2p__The_Freelands_Turn_14_(3185).json.gz,1.0,73.68915000000003,44.676344,46,4
2024-07-13_2p_-_Micro_Isar_Turn_10_(9391).json.gz,1.0,54.77047000000002,13.720616000000003,27,6
2025-11-21_2p__Ruphus_Isle_Turn_19_(9800).json.gz,-1.0,-18.926584563493314,-43.002791914028776,187,41
2025-01-14_2p__Fallenstar_Lake_Turn_48_(3720).json.gz,-1.0,58.26661760000004,-14.72236999999998,278,61
2024-06-16_2p_mini_edited_Turn_6_(47940).json.gz,-1.0,16.927629999999994,-12.142960000000004,20,2
2025-04-19_2p__Hamlets_Turn_19_(83553).json.gz,-1.0,-58.91612288000003,35.04989823999999,66,4
2024-05-03_2p__Howling_Ghost_Badlands_Turn_13_(18724).json.gz,-1.0,-38.743649999999995,-5.15556,69,15
2024-06-11_2p__Silverhead_Crossing_Turn_11_(44714).json.gz,1.0,-21.556317279999995,2.570585439999997,36,3
2024-04-13_2p_mini_edited_Turn_7_(5795).json.gz,-1.0,-63.33784,-38.21152,28,4
2024-05-16_2p_mini_edited_Turn_10_(27451).json.gz,-1.0,-101.92739999999998,-40.02960000000001,25,2
2024-10-07_2p__Den_of_Onis_Turn_12_(45294).json.gz,1.0,2.558420172031342,-9.040808698480888,33,10
2025-07-04_2p__Silverhead_Crossing_Turn_19_(143227).json.gz,-1.0,29.43915327999998,51.89349743999999,79,13
2024-07-20_2p_mini_edited_Turn_7_(14031).json.gz,-1.0,-19.882,4.199199999999998,20,7
2024-12-14_2p_-_Micro_Isar_Turn_5_(435).json.gz,1.0,52.510000000000005,8.130000000000006,10,3
2025-05-04_2p__Sullas_Ruins_Turn_39_(95694).json.gz,1.0,13.389561760000007,-36.17295887999999,149,43
2025-06-13_2p__Aethermaw_Turn_11_(127006).json.gz,1.0,-43.395304,-25.428303999999997,38,5
2026-03-18_2p__Ruphus_Isle_Turn_8_(6096).json.gz,-1.0,40.530600000000014,-12.4905,25,0
2024-06-28_2p_mini_edited_Turn_7_(334).json.gz,-1.0,21.416805200000006,47.13438160000001,19,1
2024-06-22_2p_-_Micro_Isar_Turn_8_(52459).json.gz,-1.0,-50.85460000000001,-14.560519999999999,13,6
2026-05-10_2p__Caves_of_the_Basilisk_Turn_30_(4537).json.gz,1.0,-12.389336477573902,4.932624058302196,136,11
2025-09-01_2p__Caves_of_the_Basilisk_Turn_8_(190278).json.gz,-1.0,-9.740000000000002,6.075199999999999,34,1
